City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Pauini,-7.7136,-66.9764,82.62,84,99,5.1,BR,2021-12-12 19:02:56
68,Busselton,-33.65,115.3333,52.05,73,100,9.78,AU,2021-12-12 19:00:59
69,Tevaitoa,-16.7833,-151.5,80.62,73,100,10.42,PF,2021-12-12 19:01:16
70,Ridgecrest,35.6225,-117.6709,48.38,29,0,1.01,US,2021-12-12 19:01:01
71,Bijar,35.8668,47.6051,34.99,32,0,1.52,IR,2021-12-12 19:02:56
72,Torbay,47.6666,-52.7314,57.67,92,100,35.97,CA,2021-12-12 19:02:32
73,Cassilandia,-19.1133,-51.7342,85.77,57,100,3.98,BR,2021-12-12 19:02:57
74,Sergeyevka,53.88,67.4158,4.24,94,16,7.72,KZ,2021-12-12 19:02:57
75,Nago,26.5881,127.9761,68.45,70,100,14.23,JP,2021-12-12 19:02:57
76,Pontes E Lacerda,-15.2261,-59.3353,82.17,77,99,6.58,BR,2021-12-12 19:02:58
77,Puerto Ayora,-0.7393,-90.3518,80.56,91,98,5.01,EC,2021-12-12 19:01:29
78,Tasiilaq,65.6145,-37.6368,35.76,70,100,19.73,GL,2021-12-12 19:00:58
79,Codrington,-38.2667,141.9667,66.92,35,99,8.75,AU,2021-12-12 19:02:58
80,Fortuna,40.5982,-124.1573,50.34,76,40,5.01,US,2021-12-12 19:02:59
81,Camacha,33.0833,-16.3333,63.54,94,75,8.05,PT,2021-12-12 19:02:59
82,Lebu,-37.6167,-73.65,58.14,58,2,9.44,CL,2021-12-12 19:01:01
83,Souillac,-20.5167,57.5167,77.36,71,86,13.35,MU,2021-12-12 19:03:00
84,Huanan,46.2167,130.5167,2.23,87,10,16.17,CN,2021-12-12 19:03:00
85,Krasnoselkup,65.7,82.4667,-14.73,91,100,6.29,RU,2021-12-12 19:03:00
86,Chokurdakh,70.6333,147.9167,-36.38,97,99,1.5,RU,2021-12-12 19:03:01
87,San Patricio,28.017,-97.5169,64.81,32,0,5.82,US,2021-12-12 19:03:01
88,Cayce,33.9657,-81.074,59.31,35,20,1.99,US,2021-12-12 19:04:01
89,Gorin,51.1983,136.6669,15.91,90,100,12.35,RU,2021-12-12 19:04:02
90,Castro,-24.7911,-50.0119,77.5,49,100,4.79,BR,2021-12-12 19:01:03
91,Sumter,28.7086,-82.0831,85.44,76,100,8.25,US,2021-12-12 19:04:02
92,Airai,-8.9266,125.4092,61.18,91,100,1.36,TL,2021-12-12 19:04:02
93,Victoria,22.2855,114.1577,67.32,71,27,3.0,HK,2021-12-12 19:02:23
94,Kamakwie,9.5,-12.2333,84.29,46,99,3.8,SL,2021-12-12 19:04:03
95,Grindavik,63.8424,-22.4338,41.47,87,75,24.16,IS,2021-12-12 19:04:03
96,Maragogi,-9.0122,-35.2225,82.42,68,14,11.23,BR,2021-12-12 19:01:27
97,Goksun,38.021,36.4973,38.35,74,98,3.65,TR,2021-12-12 19:04:04
