City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Cabo San Lucas,MX,22.8909,-109.9124,81.52,64,65,4.0,broken clouds
121,Grand-Bourg,GP,15.8835,-61.3148,80.55,75,95,17.94,overcast clouds
122,Lapuan,PH,6.1444,125.7008,80.85,81,80,11.1,broken clouds
123,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,88,84,20.29,very heavy rain
124,Scalea,IT,39.813,15.7956,42.33,65,16,10.2,few clouds
125,Puerto Ayora,EC,-0.7393,-90.3518,76.96,91,99,8.34,overcast clouds
126,Romny,UA,50.751,33.4747,36.05,74,100,11.43,overcast clouds
127,Norman Wells,CA,65.282,-126.8329,-2.4,93,100,13.6,overcast clouds
128,Kodiak,US,57.79,-152.4072,11.71,52,1,23.02,clear sky
129,Cascais,PT,38.6979,-9.4215,63.52,67,1,1.01,clear sky
130,Touros,BR,-5.1989,-35.4608,83.3,75,9,14.25,clear sky
131,Dikson,RU,73.5069,80.5464,-18.0,94,95,14.27,overcast clouds
132,Chokurdakh,RU,70.6333,147.9167,-38.49,97,98,2.21,overcast clouds
133,Miles City,US,46.4083,-105.8406,54.57,26,1,24.16,clear sky
134,Quang Ngai,VN,15.1167,108.8,68.68,90,69,5.97,broken clouds
135,Carnarvon,AU,-24.8667,113.6333,68.07,77,1,17.27,clear sky
136,Ust-Koksa,RU,50.2696,85.6108,17.11,91,100,1.7,overcast clouds
137,Miquelon,PM,47.0975,-56.3814,42.8,77,100,35.32,overcast clouds
138,Dingle,PH,10.9995,122.6711,75.38,92,90,8.03,overcast clouds
139,Binzhou,CN,37.3667,118.0167,27.52,43,0,4.72,clear sky
140,Kieta,PG,-6.2167,155.6333,81.99,82,99,1.21,light rain
141,Linxia,CN,35.6003,103.2064,23.65,71,0,0.11,clear sky
142,Pimentel,PE,-6.8367,-79.9342,75.49,60,0,17.27,clear sky
143,Providencia,MX,28.7167,-111.5833,78.21,35,24,5.01,few clouds
144,Talaya,RU,61.3833,152.75,-10.17,99,100,6.71,light snow
145,Stornoway,GB,58.2093,-6.3865,49.93,94,75,5.99,drizzle
146,Cayenne,GF,4.9333,-52.3333,77.04,92,75,5.01,moderate rain
147,Mangan,IN,27.5167,88.5333,53.69,46,1,6.46,clear sky
148,Sur,OM,22.5667,59.5289,70.86,61,0,5.14,clear sky
149,Belorechensk,RU,44.76,39.87,34.52,71,100,6.8,overcast clouds
150,Mount Gambier,AU,-37.8333,140.7667,66.43,35,11,6.62,few clouds
151,Iqaluit,CA,63.7506,-68.5145,8.33,66,75,8.05,light snow
152,Berlevag,NO,70.8578,29.0864,28.35,80,75,14.97,broken clouds
153,Baykit,RU,61.67,96.37,-24.11,99,42,2.46,scattered clouds
154,Longyearbyen,SJ,78.2186,15.6401,31.84,80,75,10.36,broken clouds
155,Port Elizabeth,ZA,-33.918,25.5701,71.1,94,100,8.75,overcast clouds
156,Lahat,ID,-3.8,103.5333,72.12,99,98,1.79,overcast clouds
157,Punta Alta,AR,-38.8759,-62.0736,75.94,32,41,25.08,scattered clouds
158,East London,ZA,-33.0153,27.9116,71.55,96,100,4.83,moderate rain
159,Santa Fe,AR,-31.6333,-60.7,86.76,31,89,4.83,overcast clouds
160,Christchurch,NZ,-43.5333,172.6333,62.33,74,90,4.0,overcast clouds
161,Great Falls,US,47.5002,-111.3008,43.16,56,90,5.99,overcast clouds
162,Petukhovo,RU,55.0692,67.9019,8.38,88,34,8.86,scattered clouds
